CEME Operator;Tariff Name;Voltage;Hourly Period;Cycle;EnergyMix;Access;Peak;Mid-Peak;Off-Peak;EGME fee;Public Funding;IEC;
EVIO;EVIO;BT;Bi-Horária;Diário;Sim;Ambos;0,2660;0,2660;0,1743;0,3184€;-0,1684€;0,001 €/kWh;
EVIO;EVIO;MT;Bi-Horária;Diário;Sim;Ambos;0,2302;0,2302;0,1641;0,3184€;-0,1684€;0,001 €/kWh;
EVIO;Go.Charge;BT;Bi-Horária;Diário;Sim;Ambos;0,2660;0,2660;0,1743;0,3184€;-0,1684€;0,001 €/kWh;
EVIO;Go.Charge;MT;Bi-Horária;Diário;Sim;Ambos;0,2302;0,2302;0,1641;0,3184€;-0,1684€;0,001 €/kWh;
FactorEnergia;VECARD;BT/MT;Tri-Horária;Diário;;Cartão;0,4420;0,2350;0,1700;0,1572€;-0,1684€;0,001 €/kWh;
FactorEnergia;VECARD;BT/MT;Tri-Horária;Semanal;;Cartão;0,4420;0,2350;0,1700;0,1572€;-0,1684€;0,001 €/kWh;
GALP Electric;Galp Electric Energia Verde;BT/MT;Bi-Horária;Diário;Sim;Ambos;0,2882;0,2882;0,2003;0,1572€;-0,1684€;0,001 €/kWh;
GALP Electric;Galp Electric Energia Verde;BT/MT;Bi-Horária;Semanal;Sim;Ambos;0,2882;0,2882;0,2003;0,1572€;-0,1684€;0,001 €/kWh;
GALP Electric;"Galp Electric Energia Verde Plano Mobilidade Elétrica & Solar sem Wallbox
(18% desconto)";BT/MT;Bi-Horária;Diário;Sim;Ambos;0,2363;0,2363;0,1642;0,1572€;-0,1684€;0,001 €/kWh;
GALP Electric;"Galp Electric Energia Verde Plano Mobilidade Elétrica & Solar sem Wallbox
(18% desconto)";BT/MT;Bi-Horária;Semanal;Sim;Ambos;0,2363;0,2363;0,1642;0,1572€;-0,1684€;0,001 €/kWh;
GALP Electric;"Galp Electric Energia Verde Plano Mobilidade Elétrica & Solar com Wallbox
(20% desconto)";BT/MT;Bi-Horária;Diário;Sim;Ambos;0,2306;0,2306;0,1602;0,1572€;-0,1684€;0,001 €/kWh;
GALP Electric;"Galp Electric Energia Verde Plano Mobilidade Elétrica & Solar com Wallbox
(20% desconto)";BT/MT;Bi-Horária;Semanal;Sim;Ambos;0,2306;0,2306;0,1602;0,1572€;-0,1684€;0,001 €/kWh;
GALP Electric;"Galp Electric Energia Verde Plano Mobilidade Elétrica & Solar + App Mundo Galp
(18% + 10% desconto)";BT/MT;Bi-Horária;Diário;Sim;App;0,2075;0,2075;0,1442;0,1572€;-0,1684€;0,001 €/kWh;
GALP Electric;"Galp Electric Energia Verde Plano Mobilidade Elétrica & Solar + App Mundo Galp
(18% + 10% desconto)";BT/MT;Bi-Horária;Semanal;Sim;App;0,2075;0,2075;0,1442;0,1572€;-0,1684€;0,001 €/kWh;
GoldEnergy;Clientes Goldenergy Comercialização;BT/MT;Simples;Simples;Sim;Ambos;0,2222;0,2222;0,2222;0,1572€;-0,1684€;0,001 €/kWh;
GoldEnergy;Não Clientes Goldenergy Comercialização;BT/MT;Simples;Simples;Sim;Ambos;0,2778;0,2778;0,2778;0,1572€;-0,1684€;0,001 €/kWh;
High Green Power;Energia Activa;BT;Bi-Horária;Diário;Sim;Cartão Pago;0,2970;0,2970;0,2053;0,1572€;-0,1684€;0,001 €/kWh;
High Green Power;Energia Activa;MT;Bi-Horária;Diário;Sim;Cartão Pago;0,2612;0,2612;0,1951;0,1572€;-0,1684€;0,001 €/kWh;
High Green Power;Energia Activa + Casa (Alfa);BT;Bi-Horária;Diário;Sim;Cartão Pago;0,2670;0,2670;0,1753;0,1572€;-0,1684€;0,001 €/kWh;
High Green Power;Energia Activa + Casa (Alfa);MT;Bi-Horária;Diário;Sim;Cartão Pago;0,2312;0,2312;0,1651;0,1572€;-0,1684€;0,001 €/kWh;
Iberdrola;"Smart Mobility Iberdrola Carregar Fora de Casa";BT/MT;Simples;Simples;Sim;Cartão;0,2620;0,2620;0,2620;0,1572€;-0,1684€;0,001 €/kWh;
Iberdrola;"Smart Mobility Iberdrola Carregar Fora de Casa (Exclusivo Clientes)";BT/MT;Simples;Simples;Sim;Cartão;0,2096;0,2096;0,2096;0,1572€;-0,1684€;0,001 €/kWh;
Meo Energia;"Cartão de Mobilidade MEO Energia Colaboradores MEO only";BT/MT;Simples;Simples;Sim;Cartão;0,1950;0,1950;0,1950;0,1572€;-0,1684€;0,001 €/kWh;
Meo Energia;"Cartão de Mobilidade MEO Energia Exclusivo Clientes MEO Energia";BT/MT;Simples;Simples;Sim;Cartão;0,2250;0,2250;0,2250;0,1572€;-0,1684€;0,001 €/kWh;
Mobismart;Cartão de carregamento público e privado MOBISMART (pós-pago);BT;Bi-Horária;Diário;;Cartão;0,3670;0,3670;0,2253;0,2964€;-0,1684€;0,001 €/kWh;
Mobismart;Cartão de carregamento público e privado MOBISMART (pós-pago);MT;Bi-Horária;Diário;;Cartão;0,3312;0,3312;0,2151;0,2964€;-0,1684€;0,001 €/kWh;
Mobismart;Cartão de carregamento público e privado MOBISMART (pré-pago);BT;Bi-Horária;Diário;;Cartão;0,4170;0,4170;0,2753;0,2964€;-0,1684€;0,001 €/kWh;
Mobismart;Cartão de carregamento público e privado MOBISMART (pré-pago);MT;Bi-Horária;Diário;;Cartão;0,3812;0,3812;0,2651;0,2964€;-0,1684€;0,001 €/kWh;
Okeana;Mobilidade Elétrica;BT;Bi-Horária;Diário;;Cartão;0,3170;0,3170;0,2253;0,2608€;-0,1684€;0,001 €/kWh;
Okeana;Mobilidade Elétrica;MT;Bi-Horária;Diário;;Cartão;0,2812;0,2812;0,2151;0,2608€;-0,1684€;0,001 €/kWh;
Prio;Prio Electric (EUR/kWh);BT;Bi-Horária;Diário;Sim;Ambos;0,2542;0,2542;0,1730;0,1572€;-0,1684€;0,001 €/kWh;
Prio;Prio Electric (EUR/kWh);MT;Bi-Horária;Diário;Sim;Ambos;0,2184;0,2184;0,1628;0,1572€;-0,1684€;0,001 €/kWh;
Repsol;Mobilidade Eléctrica;BT/MT;Simples;Simples;;Cartão;0,2868;0,2868;0,2868;0,1572€;-0,1684€;0,001 €/kWh;
